T_C;X
552.6082936;0.040757936
558.3982073;0.044435166
564.1880263;0.047667538
569.9778927;0.05112234
575.7677118;0.054354712
581.5576727;0.058254371
587.3476574;0.062265244
593.548151;0.07180851
598.7086566;0.071769578
604.7178241;0.075298793
610.507927;0.079865738
616.2981244;0.084877541
622.0883455;0.090000559
627.8786376;0.095457219
633.668977;0.101136309
639.4592691;0.10659297
645.249703;0.112716917
651.0402316;0.119285722
656.8307129;0.125632098
662.6212888;0.132423331
668.4118883;0.139325779
674.2025351;0.146450656
679.9932292;0.153797962
685.7839707;0.161367697
691.5752272;0.171359551
697.3659581;0.178879828
703.1569465;0.187611164
708.9481925;0.197553561
714.739018;0.205518695
720.5303822;0.216017164
726.3217464;0.226515632
732.1128084;0.235592911
737.9041648;0.246054308
743.6955711;0.256750462
749.4869128;0.267142953
755.2778616;0.275687933
761.0692523;0.286310827
766.8608361;0.297841971
772.7923599;0.307479878
778.3909959;0.319120203
784.2351268;0.330268665
789.5620106;0.340242217
796.3448994;0.354836734
802.1030515;0.363833873
807.4011203;0.374785933
812.7413661;0.385203203
818.9845986;0.399308668
824.7764489;0.412093182
830.8921384;0.42474416
835.5174284;0.434531473
841.0980454;0.443932966
846.8896383;0.45550642
852.681302;0.467413516
858.4728239;0.478653327
864.264464;0.490449209
870.0560332;0.501911449
875.8475787;0.513262473
881.6391006;0.524502284
887.4306461;0.535853309
893.2220261;0.546425832
899.0135953;0.557888072
904.8049753;0.568460596
910.5963552;0.579033119
916.3876879;0.589383215
922.1789969;0.599622095
927.970306;0.609860976
933.7615204;0.619654999
939.5527348;0.629449022
945.3439019;0.639020616
949.8566032;0.646965538
